Distance,Intercept,Coef1,Coef2,Coef3,Coef4
1500,329.2786015066809,-2.2878652954334515,0.007368647248557065,-1.1347303996810042e-05,6.745712681152649e-09
Mile,324.76483573891585,-2.0716951739709533,0.006141200560786788,-8.718241114900932e-06,4.783091986718113e-09
3k,313.7203572479981,-0.9881740609613102,0.0014579785952588678,-1.0370717538637817e-06,2.8619032187496285e-10
2-mile,316.1330922667594,-0.9279017982428407,0.00127571525907836,-8.458729346485425e-07,2.1764323850093081e-10
5k,320.21840994212795,-0.5853384526205057,0.0004993869890362002,-2.0566501072342217e-07,3.2925028914214394e-11
8k,327.6911338755366,-0.3680495210128639,0.00019187022410882502,-4.812223308422301e-08,4.683591242702484e-12
5-mile,328.49917001063824,-0.3673895725160274,0.00019066831304996105,-4.759668180544504e-08,4.6098703467781915e-12
10k,330.21396912916254,-0.29512088073493226,0.00012221786339786266,-2.4325848802344985e-08,1.877863099394861e-12
15k,326.95870507570623,-0.1899108318084571,5.124742537457682e-05,-6.6486117725579134e-09,3.343864830754155e-13
10-mile,326.2893207965112,-0.17562364203528766,4.395062988286604e-05,-5.2898826382393946e-09,2.468452756109775e-13
20k,323.54693717028204,-0.1377154099842604,2.7321429785576138e-05,-2.6102540489023593e-09,9.672793368684617e-14
1/2 Marathon,322.44690835154785,-0.12946198359807962,2.4243162087795207e-05,-2.1871374507139768e-09,7.655120908369763e-14
25k,322.26971983887455,-0.10755482241534675,1.675650481882731e-05,-1.2597341869766557e-09,3.6783022374503593e-14
30k,321.82166748993717,-0.08825842204715381,1.1309783024971544e-05,-7.004631158326266e-10,1.6868039422386107e-14
Marathon,321.1201264872696,-0.061365060765503826,5.4868477889635125e-06,-2.3765834419263595e-10,4.008787557821265e-15
