VDOT,EL,M,T,I,R
30,7:52,6:53,6:24,5:55,5:35
31,7:41,6:43,6:14,5:45,5:25
32,7:30,6:33,6:05,5:35,5:15
33,7:20,6:24,5:56,5:28,5:10
34,7:10,6:15,5:48,5:20,5:00
35,7:01,6:06,5:40,5:12,4:55
36,6:52,5:58,5:33,5:05,4:45
37,6:43,5:50,5:25,4:58,4:40
38,6:35,5:42,5:19,4:50,4:30
39,6:27,5:36,5:12,4:45,4:25
40,6:19,5:29,5:06,4:40,4:20
41,6:12,5:22,5:00,4:35,4:15
42,6:05,5:16,4:54,4:30,4:10
43,5:58,5:09,4:49,4:25,4:05
44,5:52,5:04,4:43,4:20,4:00
45,5:46,4:58,4:38,4:15,3:55
46,5:40,4:52,4:33,4:10,3:50
47,5:34,4:48,4:29,4:05,3:45
48,5:28,4:42,4:24,4:00,3:40
49,5:23,4:38,4:20,3:58,3:40
50,5:18,4:33,4:15,3:52,3:35
51,5:13,4:28,4:11,3:50,3:30
52,5:08,4:24,4:07,3:48,3:30
53,5:04,4:20,4:04,3:45,3:25
54,4:59,4:16,4:00,3:40,3:20
55,4:55,4:12,3:56,3:38,3:20
56,4:50,4:08,3:53,3:35,3:15
57,4:46,4:04,3:50,3:32,3:15
58,4:42,4:01,3:45,3:28,3:10
59,4:38,3:57,3:43,3:25,3:05
60,4:35,3:54,3:40,3:22,3:05
61,4:31,3:51,3:37,3:20,3:00
62,4:27,3:48,3:34,3:18,3:00
63,4:24,3:44,3:32,3:15,2:55
64,4:21,3:41,3:29,3:12,2:55
65,4:18,3:38,3:26,3:10,2:50
66,4:14,3:36,3:24,3:08,2:50
67,4:11,3:32,3:21,3:05,2:45
68,4:08,3:30,3:19,3:02,2:45
69,4:05,3:28,3:16,3:00,2:40
70,4:02,3:25,3:14,2:58,2:40
71,4:00,3:22,3:12,2:55,2:35
72,3:57,3:20,3:10,2:52,2:35
73,3:54,3:18,3:08,2:52,2:35
74,3:52,3:15,3:06,2:50,2:30
75,3:49,3:13,3:04,2:48,2:30
76,3:47,3:11,3:02,2:45,2:25
77,3:44,3:08,3:00,2:42,2:25
78,3:42,3:06,2:58,2:42,2:25
79,3:40,3:04,2:56,2:40,2:20
80,3:38,3:02,2:54,2:40,2:20
81,3:35,3:01,2:53,2:38,2:20
82,3:33,2:59,2:51,2:35,2:15
83,3:31,2:57,2:49,2:35,2:15
84,3:29,2:55,2:48,2:32,2:15
85,3:27,2:53,2:46,2:32,2:15
