VDOT,Distance,Time
85,1.5,203.5
85,1.60934,219.6
85,3.0,434.1
85,3.21869,468.9
85,5.0,757.0
85,8.0,1250.0
85,8.04672,1258.0
85,10.0,1579.0
85,15.0,2417.0
85,16.0934,2606.0
85,20.0,3280.0
85,21.0975,3470.0
85,25.0,4173.0
85,30.0,5073.0
85,42.195,7270.0
84,1.5,205.5
84,1.60934,221.8
84,3.0,438.5
84,3.21869,473.7
84,5.0,765.0
84,8.0,1262.0
84,8.04672,1270.0
84,10.0,1594.0
84,15.0,2442.0
84,16.0934,2633.0
84,20.0,3314.0
84,21.0975,3505.0
84,25.0,4215.0
84,30.0,5125.0
84,42.195,7344.0
83,1.5,207.6
83,1.60934,224.1
83,3.0,443.1
83,3.21869,478.7
83,5.0,773.0
83,8.0,1276.0
83,8.04672,1284.0
83,10.0,1611.0
83,15.0,2466.0
83,16.0934,2659.0
83,20.0,3348.0
83,21.0975,3541.0
83,25.0,4259.0
83,30.0,5178.0
83,42.195,7420.0
82,1.5,209.7
82,1.60934,226.4
82,3.0,447.8
82,3.21869,483.7
82,5.0,781.0
82,8.0,1289.0
82,8.04672,1297.0
82,10.0,1627.0
82,15.0,2492.0
82,16.0934,2687.0
82,20.0,3383.0
82,21.0975,3578.0
82,25.0,4303.0
82,30.0,5232.0
82,42.195,7497.0
81,1.5,211.9
81,1.60934,228.7
81,3.0,452.5
81,3.21869,488.9
81,5.0,789.0
81,8.0,1302.0
81,8.04672,1310.0
81,10.0,1644.0
81,15.0,2518.0
81,16.0934,2715.0
81,20.0,3418.0
81,21.0975,3615.0
81,25.0,4348.0
81,30.0,5287.0
81,42.195,7577.0
80,1.5,214.2
80,1.60934,231.2
80,3.0,457.5
80,3.21869,494.2
80,5.0,798.0
80,8.0,1316.0
80,8.04672,1324.0
80,10.0,1661.0
80,15.0,2545.0
80,16.0934,2744.0
80,20.0,3454.0
80,21.0975,3654.0
80,25.0,4395.0
80,30.0,5344.0
80,42.195,7658.0
79,1.5,216.5
79,1.60934,233.7
79,3.0,463.0
79,3.21869,500.0
79,5.0,806.0
79,8.0,1330.0
79,8.04672,1338.0
79,10.0,1679.0
79,15.0,2572.0
79,16.0934,2773.0
79,20.0,3492.0
79,21.0975,3694.0
79,25.0,4443.0
79,30.0,5402.0
79,42.195,7742.0
78,1.5,218.8
78,1.60934,236.2
78,3.0,468.0
78,3.21869,505.0
78,5.0,815.0
78,8.0,1344.0
78,8.04672,1352.0
78,10.0,1697.0
78,15.0,2600.0
78,16.0934,2804.0
78,20.0,3531.0
78,21.0975,3735.0
78,25.0,4492.0
78,30.0,5462.0
78,42.195,7827.0
77,1.5,221.0
77,1.60934,238.0
77,3.0,473.0
77,3.21869,511.0
