Distance,Intercept,Coef1,Coef2,Coef3,Coef4
1500,1362.7441522914983,-48.26465272536815,0.8653754288689459,-0.007641745955043459,2.652375951783803e-05
Mile,1480.715622532795,-52.77407082591274,0.9521354133803561,-0.008457318854870088,2.9503073592840323e-05
3k,2755.3660645183363,-93.66540590640359,1.6362379482993907,-0.014189438014280326,4.853447463748495e-05
2-mile,2969.8161536801576,-101.25207919983315,1.7782980476958696,-0.015517270675989056,5.3411020060067926e-05
5k,4682.663640421648,-159.17486639507183,2.8036060176782325,-0.02452391487791017,8.450086440081606e-05
8k,7777.345177265712,-266.25548245196575,4.703039667210354,-0.04112842423027405,0.0001414956806842227
5-mile,7824.772710582122,-267.9674863968673,4.736374663550011,-0.04145820835037413,0.00014279261116634245
10k,9846.37792147859,-338.1957842938728,5.986958440642983,-0.052429677555169016,0.0001805661536069536
15k,15096.287182028585,-514.9512113931958,9.05259179731292,-0.07887609495378023,0.00027073739835614674
10-mile,16224.07319712835,-551.585284825309,9.675538370702874,-0.08420090107129997,0.0002888369694584725
20k,20239.53297924062,-681.4038540918662,11.871279031913598,-0.1028613191746019,0.00035186677056842086
1/2 Marathon,21385.425812880967,-719.0864275281988,12.517605937384015,-0.10840877853966974,0.000370713730115213
25k,25271.703472006036,-842.0248502015579,14.605722851389011,-0.126340737726556,0.0004318964527243452
30k,30254.21018687475,-999.8365169143965,17.289771897148047,-0.1494157586913597,0.0005106780353543172
Marathon,42412.87789784034,-1385.2115986060828,23.84922407334187,-0.20585494848299984,0.000703545277715989
